PID,Price,PName,Unit
180,90.67,jcarroll4z,PHP
181,51.26,jfisher50,PEN
182,90.63,kpayne51,CNY
183,33.22,akelly52,CNY
184,18.77,drogers53,MXN
185,26.19,brice54,EUR
186,32.95,rscott55,PHP
187,56.37,mowens56,PLN
188,61.63,tgriffin57,BOB
189,21.99,blong58,USD
190,60.95,jdunn59,USD
191,47.04,jpierce5a,PHP
192,28.21,tsims5b,CNY
193,74.64,amoreno5c,CNY
194,93.24,aoliver5d,PKR
195,70.58,kreyes5e,IDR
196,95.66,breynolds5f,ARS
197,64.05,njordan5g,EUR
198,57.33,wmiller5h,ETB
199,72.93,mford5i,CNY
200,30.9,ehansen5j,BRL
201,82.07,acox5k,RUB
202,90.18,mlarson5l,CNY
203,54.75,arogers5m,RUB
204,13.85,kharris5n,TZS
205,54.13,jbarnes5o,ZWL
206,29.78,kgonzalez5p,CNY
207,28.7,cmartinez5q,USD
208,41.08,hhowell5r,EUR
209,86.97,emills5s,KWD
210,36.12,kwebb5t,EUR
211,99.99,gpatterson5u,IDR
212,47.63,pwright5v,KWD
213,81.73,mwagner5w,CNY
214,24.91,crussell5x,EUR
215,66.3,tporter5y,CNY
216,46.72,tryan5z,PHP
217,85.5,bscott60,THB
218,49.04,tprice61,ARS
219,39.63,jchapman62,EUR
220,75.58,swatson63,EUR
221,94.75,chamilton64,UZS
222,89.49,bross65,BRL
223,96.92,lchavez66,PLN
224,20.79,jwagner67,EUR
225,50.63,grogers68,CNY
226,9.28,rmorgan69,CNY
227,17.44,bford6a,ARS
228,14.96,knelson6b,USD
229,56.95,dedwards6c,BRL
230,27.89,rfisher6d,BRL
231,96.24,lhowell6e,CNY
232,88.97,rmccoy6f,CNY
233,90.02,tgarrett6g,SEK
234,32.7,jmeyer6h,CNY
235,56.36,afowler6i,PHP
236,23.72,sbanks6j,UAH
237,52.47,aboyd6k,EUR
238,1.78,fflores6l,AFN
239,52.08,aharris6m,PLN
240,39.08,bwright6n,BGN
241,28.42,mhunt6o,PKR
242,90.16,ayoung6p,IDR
243,57.98,dbishop6q,EUR
244,47.19,ralexander6r,CNY
245,88.23,swilliamson6s,RUB
246,92.82,krussell6t,KRW
247,19.21,jnichols6u,USD
248,15.89,ssims6v,USD
249,71.86,ggarrett6w,RUB
250,42.63,gwells6x,IDR
251,47.55,bevans6y,PLN
252,37.81,rgibson6z,VUV
253,58.09,ngomez70,CNY
254,81.93,lmcdonald71,JPY
255,46.84,hnelson72,MUR
256,76.35,ngarza73,THB
257,59.83,mduncan74,EUR
258,52.64,jharris75,EUR
259,8.25,trobinson76,SEK
260,3.78,jgreen77,EUR
261,84.25,khenderson78,IDR
262,86.95,wdean79,IDR
263,53.75,jwoods7a,THB
264,97.69,kwallace7b,YER
265,3.65,jwalker7c,XCD
266,54.63,treed7d,IDR
267,30.22,hmoreno7e,EUR
268,30.89,mramos7f,AFN
269,54.74,cbutler7g,IDR
270,47.3,melliott7h,USD
271,40.35,whernandez7i,COP
272,13.17,cjones7j,PLN
273,8.06,fporter7k,CUP
274,84.87,jthompson7l,HRK
275,78.96,jruiz7m,EUR
276,66.17,jfisher7n,CNY
277,51.3,jholmes7o,USD
278,36.25,pmorales7p,ZAR
279,82.15,pbishop7q,IDR
280,12.27,jarnold7r,CNY
281,68.66,bwebb7s,XOF
282,54.31,jcook7t,CNY
283,51.29,kmoore7u,CNY
284,31.17,dperez7v,PHP
285,46.11,ejohnston7w,YER
286,97.96,jmartinez7x,EUR
287,7.71,dclark7y,CRC
288,24.63,achapman7z,UAH
289,85.32,mfranklin80,USD
290,33.2,jparker81,ALL
291,55.37,pmatthews82,CNY
292,43.64,mgreene83,PEN
293,34.89,skim84,PHP
294,76.3,dhansen85,CZK
295,74.51,jstephens86,UGX
296,54.95,anguyen87,VEF
297,5.3,kschmidt88,EUR
298,98.49,ckim89,IDR
299,69.76,jperry8a,MXN
300,74.55,ahall8b,EUR
301,55.68,aharvey8c,EUR
302,73.95,randerson8d,CNY
303,10.91,ebowman8e,RSD
304,73.2,jstanley8f,PHP
305,2.81,wmorrison8g,NGN
306,30.85,aross8h,IDR
307,10.92,tlee8i,RUB
308,80.85,jsanders8j,CAD
309,66.17,khowell8k,ZAR
310,64.2,swelch8l,EUR
311,35.5,lcox8m,IDR
312,83.89,ehansen8n,CZK
313,85.97,rbrown8o,COP
314,16.7,gjohnson8p,BRL
315,37.73,agreene8q,PLN
316,92.5,cjames8r,PHP
317,47.82,hrogers8s,CNY
318,63.31,bbennett8t,PLN
319,43.25,vgreen8u,IDR
320,19.61,rwright8v,EUR
321,47.46,jhill8w,IDR
322,65.9,gallen8x,PLN
323,87.81,hnelson8y,EUR
324,27.26,bhansen8z,HNL
325,22.22,sfernandez90,IDR
326,17.19,dmartin91,CNY
327,3.9,poliver92,IDR
328,47.98,schapman93,VND
329,16.55,mpalmer94,NGN
330,30.1,aperez95,IDR
331,81.06,melliott96,JPY
332,26.16,gphillips97,RUB
333,95.26,pgordon98,EUR
334,18.39,cbrooks99,PEN
335,10.38,ameyer9a,IDR
336,82.13,anelson9b,RSD
337,7.65,kberry9c,CNY
338,51.96,jrussell9d,IDR
339,59.49,ctucker9e,EUR
340,68.89,nduncan9f,CNY
341,74.19,jgrant9g,CNY
342,46.15,frodriguez9h,PHP
343,46.85,mwelch9i,GTQ
344,9.72,mpayne9j,BYR
345,96.58,astanley9k,TJS
346,47.69,cwebb9l,IDR
347,83.99,dhamilton9m,ZAR
348,56.07,nhenry9n,CNY
349,67.65,mclark9o,EUR
350,70.99,ethomas9p,CNY
351,87.4,dsanders9q,MZN
352,88.67,mnelson9r,CAD
353,74.93,lburke9s,SEK
354,86.84,iwashington9t,EUR
355,11.05,eyoung9u,RUB
356,57.45,rfernandez9v,PEN
357,71.5,ecooper9w,EUR
358,53.64,gharper9x,IRR
359,89.17,hmorgan9y,RUB
360,27.49,aspencer9z,RUB
361,59.02,aholmesa0,RUB
362,38.65,kortiza1,BRL
363,72.59,mfishera2,SEK
364,74.39,istephensa3,PLN
365,15.07,cpattersona4,NGN
366,58.81,rstephensa5,EUR
367,65.48,dpricea6,CNY
368,42.58,hriveraa7,ARS
369,7.49,aharrisona8,VEF
370,84.13,aramosa9,CZK
371,13.34,cburkeaa,PLN
372,96.86,ediazab,IDR
373,63.26,kreyesac,RUB
374,39.75,jpricead,AMD
375,58.02,phowardae,IDR
376,68.82,rbutleraf,MAD
377,28.24,frobertsonag,CNY
378,66.45,crobinsonah,OMR
379,71.27,dramosai,CNY
380,56.0,jdayaj,XOF
381,28.35,jlarsonak,BYR
382,63.89,rjohnsonal,IDR
383,98.56,chowardam,AZN
384,6.21,dfreemanan,PHP
385,40.88,ddavisao,RUB
386,28.19,mhowardap,EUR
387,78.8,asimpsonaq,PEN
388,65.78,schavezar,GBP
389,48.1,pmitchellas,BRL
390,55.01,acolemanat,BHD
391,15.45,nmartinezau,XOF
392,72.83,mwilliamsonav,CNY
393,31.47,jjohnsonaw,IDR
394,82.6,bbarnesax,CNY
395,24.17,cdavisay,CNY
396,52.27,breidaz,MWK
397,4.98,ecarrollb0,PHP
398,76.56,emurphyb1,CNY
399,24.0,trayb2,CNY
400,32.03,chayesb3,EUR
401,74.95,athompsonb4,AZN
402,32.26,achavezb5,IDR
403,46.23,bfrazierb6,CNY
404,34.62,rtuckerb7,IDR
405,65.63,lpetersb8,CNY
406,66.08,dleeb9,EUR
407,74.94,cwestba,RUB
408,16.96,jolsonbb,BRL
409,49.34,sperezbc,AFN
410,30.13,wwardbd,CNY
411,10.61,hcoxbe,BRL
412,88.18,smasonbf,IDR
413,9.56,jgonzalezbg,IDR
414,35.36,mmedinabh,MNT
415,31.63,ddunnbi,IDR
416,56.67,mmcdonaldbj,AUD
417,56.19,lcoxbk,EUR
418,18.42,mgarrettbl,CNY
419,92.01,ascottbm,BRL
420,56.33,cparkerbn,AMD
421,55.46,djacksonbo,IDR
422,88.27,erogersbp,UYU
423,64.57,efullerbq,CNY
424,79.23,sdixonbr,CZK
425,5.26,vdeanbs,EUR
426,77.1,amorrisbt,EUR
427,7.01,rhawkinsbu,RUB
428,73.84,rwardbv,IDR
429,5.31,hbakerbw,RUB
430,47.47,pbarnesbx,CNY
431,94.22,mburtonby,PLN
432,33.8,tfosterbz,COP
433,57.73,cfieldsc0,IDR
434,29.04,pphillipsc1,PHP
435,3.79,dkennedyc2,RUB
436,5.42,ngarzac3,AMD
437,64.74,aphillipsc4,EUR
438,77.47,blawrencec5,AOA
439,50.52,lcookc6,CNY
440,26.92,amendozac7,AFN
441,40.11,swalkerc8,TMT
442,96.67,bharveyc9,RSD
443,44.48,tcookca,CNY
444,54.14,jmillercb,SEK
445,98.51,wfordcc,PHP
446,74.84,lrileycd,CNY
447,90.2,jstanleyce,CLP
448,50.96,bbakercf,CNY
449,4.15,plawrencecg,CNY
450,89.43,cmatthewsch,IDR
451,93.22,jmorrisci,CNY
452,11.56,jhendersoncj,DOP
453,86.68,rshawck,MXN
454,12.23,jjohnstoncl,KZT
455,43.17,mwarrencm,THB
456,95.15,sschmidtcn,MXN
457,40.01,gporterco,NZD
458,83.27,jwilsoncp,BOB
459,94.92,ablackcq,USD
460,55.5,aspencercr,MYR
461,69.43,mrodriguezcs,TZS
462,68.29,sreynoldsct,PHP
463,25.69,hromerocu,EUR
464,32.02,cramoscv,NZD
465,69.24,rdunncw,EUR
466,40.51,twallacecx,SEK
467,71.02,bharveycy,PHP
468,85.55,jjamescz,EUR
469,86.35,sellisd0,CAD
470,56.42,nhernandezd1,RUB
471,6.57,hhilld2,COP
472,59.39,jlopezd3,PHP
473,83.01,ahughesd4,NIO
474,61.82,aromerod5,EUR
475,69.55,kcooperd6,VND
476,79.84,sbakerd7,CNY
477,76.87,pwatsond8,PHP
478,50.07,aduncand9,CNY
479,77.05,jortizda,IDR
480,73.3,phughesdb,GTQ
481,91.61,bgrahamdc,CNY
482,6.36,rstephensdd,ALL
483,14.08,bboydde,IDR
484,96.28,agardnerdf,CNY
485,69.57,rhansondg,THB
486,31.49,kforddh,IDR
487,19.84,bdeandi,PYG
488,93.23,krileydj,IDR
489,42.13,dramosdk,VEF
490,94.34,mmartinezdl,BAM
491,56.52,jrobertsondm,ILS
492,40.71,tchapmandn,CNY
493,91.9,jwillisdo,PLN
494,74.18,bwatkinsdp,BRL
495,85.13,atorresdq,CAD
496,14.49,jcrawforddr,RUB
497,72.34,kmurrayds,PLN
498,89.78,ewelchdt,SEK
499,37.17,amartindu,EUR
500,17.32,kmillerdv,CNY
501,41.05,kstonedw,CAD
502,40.71,cdixondx,CNY
503,53.7,dclarkdy,LBP
504,97.64,pwellsdz,RUB
505,60.75,dfreemane0,DKK
506,96.92,jstonee1,JPY
507,92.3,gbowmane2,EUR
508,51.35,aruize3,EUR
509,80.25,jmoralese4,CNY
510,77.25,rbakere5,CNY
511,50.76,ewelche6,BRL
512,81.26,sharrise7,SYP
513,14.62,vgreene8,COP
514,78.8,rturnere9,PLN
515,15.54,mriveraea,CZK
516,34.66,cgreeneeb,CAD
517,20.18,mcampbellec,IDR
518,94.18,jmooreed,PLN
519,81.39,eburtonee,PLN
520,90.75,scampbellef,SEK
521,91.84,clarsoneg,IDR
522,94.98,jgomezeh,KZT
523,85.87,sholmesei,CNY
524,91.04,acunninghamej,TJS
525,41.25,gmedinaek,MNT
526,2.66,jhawkinsel,SOS
527,1.21,sgrayem,EUR
528,54.58,eblacken,VEF
529,31.68,shenryeo,CNY
530,92.59,awagnerep,EUR
531,4.12,jboydeq,IDR
532,81.15,salexanderer,CNY
533,31.13,ptaylores,UAH
534,22.77,mchavezet,CNY
535,64.52,lcartereu,IDR
536,86.97,tknightev,PHP
537,26.56,rjenkinsew,EUR
538,6.51,sgreenex,IDR
539,45.45,jmontgomeryey,CNY
540,44.51,wbanksez,CNY
541,91.25,dmartinf0,CNY
542,41.35,rrodriguezf1,USD
543,32.49,epattersonf2,KRW
544,46.25,dpattersonf3,BAM
545,80.3,acolemanf4,RUB
546,50.62,jmyersf5,IRR
547,60.86,spiercef6,TZS
548,90.56,pbutlerf7,PLN
549,16.09,rfreemanf8,CNY
550,44.83,afullerf9,PHP
551,88.82,jjamesfa,CNY
552,99.02,dkellyfb,CNY
553,68.02,jlanefc,HTG
554,11.89,gbennettfd,CNY
555,83.74,treedfe,CNY
556,97.99,kfrazierff,CNY
557,71.13,khernandezfg,ILS
558,17.76,rbennettfh,CNY
559,34.75,jadamsfi,RSD
560,96.97,ewheelerfj,IDR
561,88.47,msandersfk,ILS
562,92.27,bromerofl,IDR
563,89.82,dperkinsfm,PHP
564,48.84,rgonzalesfn,COP
565,93.11,dharrisfo,PHP
566,96.66,jcarrfp,GTQ
567,78.57,aalvarezfq,USD
568,73.8,jbishopfr,IDR
569,94.05,ibanksfs,TZS
570,33.09,rshawft,CNY
571,29.02,ccoxfu,EUR
572,76.0,ehughesfv,IDR
573,27.33,jspencerfw,EUR
574,8.31,bwallacefx,CNY
575,76.76,mdayfy,PEN
576,27.78,cleefz,BRL
577,76.99,dperkinsg0,UAH
578,37.75,dsandersg1,IDR
579,53.98,dmedinag2,NZD
580,97.17,sfernandezg3,IDR
581,79.46,ibaileyg4,VEF
582,62.45,edayg5,RUB
583,29.34,mevansg6,EUR
584,37.56,dchavezg7,EUR
585,17.28,jjordang8,CNY
586,52.1,nstephensg9,PHP
587,96.62,jreyesga,RUB
588,11.54,tbowmangb,CNY
589,17.56,jbryantgc,RUB
590,13.83,sbellgd,IDR
591,23.22,dkennedyge,PHP
592,39.66,rmorrisgf,BRL
593,69.42,cfoxgg,IDR
594,76.56,hcastillogh,EUR
595,36.67,wlittlegi,IDR
596,18.92,rbennettgj,PHP
597,81.43,cnicholsgk,CNY
598,16.18,jgriffingl,MYR
599,73.58,mgeorgegm,CNY
600,35.87,llawrencegn,CNY
601,50.52,tlittlego,CAD
602,28.77,mpattersongp,CNY
603,66.82,jhuntgq,PYG
604,66.53,msullivangr,TZS
605,74.72,gsandersgs,SEK
606,98.24,bfullergt,XOF
607,76.94,kreyesgu,PLN
608,78.84,jrussellgv,YER
609,63.14,mchapmangw,RSD
610,90.68,mrodriguezgx,RUB
611,48.6,bgardnergy,CNY
612,26.66,tbryantgz,EUR
613,4.37,bsanchezh0,CNY
614,60.32,bfreemanh1,EGP
615,44.22,rmendozah2,VND
616,41.57,bfloresh3,CNY
617,41.86,tarmstrongh4,MXN
618,47.5,jromeroh5,EUR
619,23.2,ccarrh6,ZAR
620,57.9,greidh7,PHP
621,80.08,jelliotth8,RUB
622,78.04,twebbh9,JPY
623,70.43,rmarshallha,LBP
624,18.84,mfosterhb,JPY
625,94.7,rthompsonhc,CNY
626,57.49,jgonzaleshd,CNY
627,90.47,sfordhe,RUB
628,86.71,dhamiltonhf,IDR
629,67.42,rrogershg,PLN
630,15.6,brichardshh,USD
631,57.34,trosshi,ZAR
632,42.71,gjohnsonhj,CNY
633,63.37,crichardshk,IRR
634,96.65,swagnerhl,BRL
635,46.36,rmillshm,BAM
636,2.05,smillshn,EUR
637,27.7,jbradleyho,RUB
638,62.49,wbrownhp,CZK
639,6.25,mandersonhq,CNY
640,91.2,gwilliamshr,HRK
641,50.27,sdavishs,IDR
642,53.12,acunninghamht,EUR
643,92.06,mmurphyhu,NZD
644,26.76,mramoshv,SEK
645,45.91,dmurphyhw,ARS
646,31.81,rlanehx,PHP
647,23.49,alewishy,XAF
648,64.4,dmedinahz,EUR
649,86.46,ahalli0,IDR
650,6.96,afulleri1,ILS
651,12.94,jmendozai2,DKK
652,69.33,cbradleyi3,CNY
653,86.44,hcolemani4,RUB
654,65.77,hmurrayi5,CNY
655,24.89,preynoldsi6,EUR
656,38.46,ksimpsoni7,UAH
657,15.73,egranti8,EUR
658,22.68,scampbelli9,EUR
659,53.2,gmorrisia,KZT
660,91.43,dburtonib,ZMW
661,2.27,mduncanic,PHP
662,60.42,lcarpenterid,BRL
663,9.69,dtorresie,PEN
664,54.56,jramosif,IDR
665,95.94,dgrantig,CNY
666,97.53,wdeanih,CNY
667,48.1,tallenii,CNY
668,12.72,cwalkerij,ILS
669,76.31,jdavisik,CNY
670,76.12,cgonzalesil,CNY
671,28.18,ewatkinsim,EUR
672,54.46,cbrownin,EUR
673,24.29,etorresio,HRK
674,34.8,bwilliamsip,RUB
675,98.44,msancheziq,VUV
676,16.99,jfoxir,CNY
677,11.37,lscottis,PEN
678,50.76,hgrahamit,MDL
679,43.31,jlaneiu,RUB
680,49.11,sshawiv,EUR
681,69.38,jberryiw,PAB
682,61.61,kharveyix,JPY
683,82.06,ksancheziy,MNT
684,61.26,rbakeriz,IDR
685,34.09,arileyj0,VND
686,36.43,jcollinsj1,EUR
687,49.62,lbarnesj2,CNY
688,59.52,tgardnerj3,PHP
689,85.33,afosterj4,JPY
690,81.08,dcolemanj5,PHP
691,63.08,chenryj6,IDR
692,13.57,dmasonj7,PHP
693,29.1,vkellyj8,PLN
694,78.05,sreedj9,LYD
695,29.35,mholmesja,CNY
696,28.98,dbowmanjb,EUR
697,66.05,jmoralesjc,TJS
698,27.11,ahayesjd,IDR
699,59.21,agreenje,MAD
700,24.36,arichardsonjf,CNY
701,37.93,mharrisonjg,IDR
702,71.19,fperryjh,SEK
703,5.68,sharrisji,IRR
704,6.41,mharrisonjj,THB
705,91.67,lstevensjk,PHP
706,3.18,tgordonjl,SEK
707,73.32,ahuntjm,CNY
708,21.29,ldixonjn,PLN
709,59.87,jblackjo,IDR
710,25.01,ggrahamjp,CNY
711,55.98,jramirezjq,PLN
712,26.51,lmcdonaldjr,CNY
713,47.03,sjohnsonjs,BRL
714,52.5,acampbelljt,PHP
715,45.27,jcooperju,SEK
716,87.27,wstewartjv,CNY
717,90.76,jmoorejw,PHP
718,14.8,jdeanjx,CNY
719,31.55,mhayesjy,CNY
720,79.62,tryanjz,BYR
721,70.0,rgrayk0,JPY
722,17.31,mshawk1,RSD
723,58.91,dhansonk2,VEF
724,43.16,jburtonk3,CNY
725,24.02,jhillk4,PAB
726,92.91,jcookk5,PLN
727,32.83,dcoxk6,PLN
728,9.04,ccunninghamk7,MAD
729,3.27,mpetersk8,CNY
730,34.24,elawrencek9,RUB
731,59.87,jrogerska,PHP
732,33.51,charriskb,IDR
733,19.27,cstevenskc,EUR
734,81.33,fjacobskd,UGX
735,67.53,rboydke,PHP
736,42.42,acoxkf,YER
737,91.87,jfernandezkg,USD
738,67.81,pwoodskh,RSD
739,52.23,twheelerki,GTQ
740,58.18,gjohnsonkj,MXN
741,53.38,pshawkk,EUR
742,30.29,mtorreskl,IDR
743,14.75,pmillerkm,EUR
744,68.83,agarzakn,IDR
745,18.72,smedinako,MGA
746,1.95,cthomaskp,KPW
747,93.47,mbryantkq,NOK
748,57.2,slopezkr,PHP
749,47.46,sholmesks,PHP
750,73.3,dalexanderkt,EUR
751,86.56,cmoralesku,IDR
752,58.8,draykv,RUB
753,95.08,jwardkw,RUB
754,21.55,sdiazkx,EUR
755,2.23,lyoungky,MAD
756,85.65,jrileykz,CNY
757,33.87,hgonzalesl0,MAD
758,84.74,llopezl1,VEF
759,25.74,rlynchl2,CNY
760,39.8,hcoxl3,NOK
761,44.09,agibsonl4,EUR
762,27.59,lrayl5,EUR
763,55.39,dwoodsl6,COP
764,33.41,jdeanl7,PKR
765,87.51,cmccoyl8,MKD
766,68.25,mcolel9,USD
767,43.38,kwalkerla,CNY
768,92.06,lpiercelb,EUR
769,9.52,sallenlc,UYU
770,85.48,jgomezld,HNL
771,25.46,lwilliamsonle,JPY
772,91.39,gcampbelllf,EUR
773,60.55,jsullivanlg,PLN
774,81.61,bmendozalh,IDR
775,49.02,towensli,XAF
776,84.09,tkimlj,KZT
777,69.19,emurphylk,IDR
778,14.78,jfisherll,JPY
779,98.87,jboydlm,MNT
780,43.66,hriveraln,GEL
781,45.46,dwheelerlo,CNY
782,62.37,fporterlp,RUB
783,73.05,bhowelllq,EUR
784,72.23,wsimslr,NGN
785,68.05,cfieldsls,CNY
786,62.93,dkelleylt,SEK
787,92.16,jblacklu,THB
788,97.55,jpowelllv,PHP
789,37.08,cwashingtonlw,BRL
790,42.01,athomaslx,TND
791,88.34,chughesly,NOK
792,6.07,pmyerslz,IDR
793,77.47,jkingm0,ZAR
794,77.98,jpaynem1,ZAR
795,15.74,rlanem2,BGN
796,7.68,bpetersonm3,PEN
797,60.66,dgibsonm4,UGX
798,73.43,jhillm5,PHP
799,36.19,arileym6,EUR
800,34.69,vbellm7,IDR
801,53.49,fleem8,ZMW
802,62.03,awestm9,CLP
803,23.38,ewhitema,JPY
804,18.18,adunnmb,CNY
805,78.63,paustinmc,CNY
806,39.29,amontgomerymd,CZK
807,4.29,jhowellme,IDR
808,87.16,dmillermf,CNY
809,48.33,sgibsonmg,PEN
810,10.59,pbishopmh,RUB
811,16.03,mrobinsonmi,PEN
812,51.08,bgonzalesmj,ZAR
813,9.68,lallenmk,RUB
814,34.3,awardml,PKR
815,78.16,jkelleymm,XOF
816,7.23,cduncanmn,IDR
817,37.18,tharveymo,THB
818,26.68,gshawmp,CNY
819,82.51,bjamesmq,CNY
820,38.38,hgonzalesmr,PLN
821,70.82,amorganms,EUR
822,30.55,mwatsonmt,THB
823,2.54,twagnermu,XOF
824,81.69,smccoymv,USD
825,20.21,blanemw,YER
826,55.1,dwelchmx,EUR
827,97.99,swheelermy,IDR
828,47.51,sstevensmz,CNY
829,37.12,sspencern0,EUR
830,91.73,sfernandezn1,RUB
831,73.49,lfullern2,CNY
832,31.12,thartn3,JPY
833,18.79,cmontgomeryn4,MVR
834,38.63,brodriguezn5,CNY
835,85.19,shamiltonn6,PKR
836,56.96,dsimpsonn7,PLN
837,55.92,arichardsonn8,BRL
838,50.4,ksimpsonn9,MDL
839,59.97,phayesna,KMF
840,54.86,rhamiltonnb,CNY
841,69.68,jjordannc,NGN
842,38.53,acarternd,BRL
843,21.27,pmatthewsne,PHP
844,4.96,jbennettnf,HUF
